,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,slam_code,Sex
90,3,1,65,44,35,20,16.0,2.0,40.0,10.0,12.0,4.0,28.0,14.0,58,42,42,16,11.0,3.0,34.0,20.0,5.0,0.0,61.0,29.0,3,2
109,3,1,64,37,36,16,5.0,7.0,33.0,56.0,7.0,10.0,12.0,17.0,67,39,33,12,2.0,6.0,17.0,37.0,5.0,16.0,9.0,13.0,1,1
40,2,1,62,26,38,11,0.0,1.0,18.0,12.0,12.0,4.0,15.0,11.0,57,21,43,15,5.0,3.0,18.0,21.0,4.0,1.0,26.0,11.0,4,1
33,1,0,65,17,35,9,0.0,1.0,16.0,31.0,1.0,6.0,4.0,8.0,58,22,42,16,3.0,2.0,16.0,13.0,4.0,7.0,0.0,1.0,2,1
67,2,0,75,13,25,3,0.0,3.0,10.0,29.0,2.0,3.0,5.0,8.0,54,16,46,13,2.0,2.0,16.0,17.0,6.0,7.0,0.0,1.0,1,1
27,1,1,53,55,47,39,10.0,7.0,35.0,29.0,4.0,15.0,14.0,24.0,48,56,52,40,12.0,10.0,36.0,30.5,1.0,5.0,24.0,40.0,4,2
114,4,1,80,26,20,4,1.0,1.0,18.0,14.0,5.0,7.0,8.0,14.0,64,14,36,3,0.0,1.0,4.0,11.0,0.0,4.0,3.0,4.0,1,1
80,2,0,62,32,38,18,6.0,3.0,14.0,21.0,1.0,2.0,4.0,13.0,76,45,24,9,11.0,0.0,52.0,35.0,6.0,11.0,23.0,29.0,1,2
73,1,0,49,17,51,4,3.0,7.0,20.0,31.0,0.0,0.0,6.0,4.0,50,16,50,14,0.0,1.0,11.0,6.0,8.0,5.0,6.0,5.0,4,1
50,1,1,54,60,46,25,34.0,13.0,71.0,52.0,6.0,8.0,5.0,8.0,53,45,47,31,12.0,5.0,38.0,36.0,3.0,7.0,6.0,6.0,1,2
16,3,0,56,44,44,21,9.0,10.0,30.0,44.0,6.0,1.0,18.0,13.0,68,48,32,17,2.0,6.0,24.0,38.0,18.0,4.0,30.0,19.0,4,1
98,1,0,46,35,54,27,19.0,8.0,35.0,29.0,2.0,6.0,12.0,17.0,56,46,44,33,18.0,2.0,36.0,30.5,4.0,8.0,14.0,19.0,4,2
73,1,1,55,68,45,41,13.0,3.0,35.0,29.0,2.0,6.0,28.0,45.0,58,77,42,34,25.0,7.0,36.0,30.5,1.0,8.0,15.0,24.0,4,2
110,4,0,61,65,39,28,5.0,3.0,32.0,47.0,3.0,6.0,15.0,28.0,64,56,36,23,9.0,2.0,60.0,56.0,6.0,14.0,25.0,35.0,2,2
78,2,1,64,65,36,32,8.0,4.0,29.0,33.0,7.0,11.0,10.0,19.0,60,55,40,22,3.0,6.0,52.0,69.0,4.0,12.0,26.0,38.0,2,2
44,1,0,43,22,57,26,0.0,6.0,14.0,20.0,2.0,1.0,22.0,12.0,64,38,36,19,7.0,0.0,38.0,17.0,10.0,5.0,42.0,27.0,3,2
74,2,0,79,71,21,20,11.0,1.0,57.0,28.0,3.0,11.0,17.0,26.0,67,76,33,25,15.0,5.0,63.0,47.0,3.0,11.0,11.0,18.0,1,2
82,2,0,50,50,50,32,15.0,7.0,15.0,7.0,7.0,15.0,17.0,22.0,49,65,51,41,7.0,8.0,7.0,8.0,10.0,12.0,18.0,22.0,1,2
32,2,0,47,27,53,27,2.0,7.0,41.0,43.0,14.0,6.0,38.0,26.0,68,34,32,14,2.0,3.0,28.0,27.0,18.0,7.0,22.0,15.0,4,1
13,1,1,62,40,38,16,6.0,4.0,17.0,42.0,4.0,12.0,3.0,4.0,59,39,41,22,1.0,8.0,34.0,66.0,4.0,10.0,9.0,12.0,2,1
34,1,0,66,46,34,17,0.0,7.0,35.0,29.0,1.0,5.0,13.0,15.0,63,51,37,19,28.0,4.0,36.0,30.5,3.0,12.0,12.0,20.0,4,2
62,1,1,54,55,46,36,8.0,9.0,54.0,45.0,3.0,5.0,14.0,23.0,59,56,41,23,20.0,5.0,53.0,47.0,4.0,9.0,23.0,36.0,1,2
121,5,0,61,60,39,28,9.0,1.0,41.0,46.0,1.0,2.0,17.0,27.0,64,61,36,28,10.0,0.0,54.0,42.0,4.0,17.0,49.0,66.0,1,2
42,1,0,56,18,44,8,1.0,7.0,35.0,29.0,1.0,1.0,6.0,14.0,84,33,16,4,5.0,1.0,36.0,30.5,9.0,13.0,8.0,12.0,4,2
56,1,0,65,24,35,7,2.0,3.0,7.0,15.0,2.0,0.0,4.0,2.0,65,25,35,8,5.0,0.0,25.0,10.0,10.0,4.0,26.0,19.0,3,1
115,4,0,64,35,36,10,1.0,4.0,25.0,35.0,5.0,6.0,5.0,13.0,60,33,40,12,8.0,2.0,43.0,37.0,8.0,18.0,17.0,27.0,1,1
0,1,0,61,35,39,18,5.0,1.0,17.0,29.0,1.0,3.0,8.0,11.0,68,45,32,17,10.0,0.0,40.0,30.0,4.0,8.0,8.0,9.0,1,2
31,1,1,48,26,52,20,4.0,6.0,28.0,27.0,5.0,16.0,7.0,8.0,60,36,40,15,3.0,8.0,32.0,40.0,4.0,12.0,12.0,16.0,1,1
14,3,0,62,34,38,21,2.0,2.0,13.0,27.0,11.0,2.0,10.0,7.0,63,47,37,22,3.0,4.0,46.0,45.0,9.0,3.0,34.0,27.0,4,1
12,1,0,69,60,31,14,3.0,2.0,33.0,33.0,7.0,2.0,34.0,25.0,63,65,37,26,12.0,6.0,60.0,27.0,12.0,6.0,61.0,44.0,3,2
36,1,0,63,109,37,36,41.0,4.0,111.0,81.0,2.0,25.0,29.0,44.0,56,114,44,57,32.0,18.0,75.0,53.0,4.0,10.0,37.0,55.0,1,2
121,1,1,68,49,32,19,5.0,1.0,35.0,29.0,7.0,12.0,27.0,39.0,56,29,44,23,2.0,4.0,36.0,30.5,2.0,10.0,10.0,21.0,4,2
112,6,1,69,102,31,21,22.0,2.0,80.0,48.0,15.0,3.0,56.0,42.0,60,82,40,42,4.0,4.0,48.0,37.0,7.0,2.0,37.0,25.0,3,2
10,4,1,62,26,38,11,6.0,4.0,22.0,13.0,10.0,4.0,13.0,9.0,66,28,34,8,0.0,4.0,15.0,29.0,2.0,1.0,12.0,6.0,4,1
3,1,0,61,41,39,19,8.0,3.0,27.0,45.0,4.0,7.0,10.0,13.0,68,43,32,10,6.0,2.0,37.0,44.0,5.0,13.0,5.0,8.0,1,1
30,1,1,54,24,46,14,0.0,2.0,32.0,25.0,5.0,14.0,17.0,24.0,47,12,53,14,1.0,2.0,8.0,14.0,2.0,6.0,4.0,11.0,2,1
29,1,0,73,31,27,6,2.0,6.0,2.0,6.0,1.0,2.0,17.0,22.0,53,31,47,19,4.0,3.0,4.0,3.0,7.0,12.0,18.0,22.0,1,2
73,2,1,74,24,26,10,2.0,1.0,22.0,18.0,5.0,10.0,9.0,11.0,53,13,47,10,0.0,2.0,10.0,30.0,1.0,7.0,7.0,10.0,2,1
49,1,1,55,52,45,27,8.0,8.0,53.0,41.0,7.0,10.0,13.0,23.0,72,47,28,15,2.0,1.0,23.0,35.0,1.0,8.0,9.0,15.0,2,2
59,1,1,54,31,46,22,3.0,4.0,36.0,45.0,7.0,16.0,13.0,21.0,72,46,28,11,2.0,5.0,32.0,38.0,7.0,12.0,9.0,14.0,2,1
97,3,1,67,40,33,17,6.0,0.0,25.0,24.0,5.0,10.0,13.0,15.0,65,35,35,10,3.0,3.0,17.0,34.0,0.0,2.0,15.0,21.0,2,2
103,4,0,59,47,41,18,5.0,4.0,36.0,20.0,2.0,0.0,27.0,21.0,72,55,28,18,9.0,1.0,36.0,15.0,11.0,2.0,28.0,15.0,3,2
60,1,1,51,32,49,27,7.0,2.0,35.0,29.0,6.0,13.0,11.0,18.0,66,37,34,16,1.0,3.0,36.0,30.5,3.0,7.0,37.0,64.0,4,2
5,1,1,62,28,38,12,5.0,0.0,30.0,21.0,3.0,5.0,4.0,7.0,50,18,50,14,3.0,2.0,11.0,23.0,0.0,3.0,6.0,6.0,1,1
94,3,0,82,41,18,8,2.0,1.0,15.0,31.0,1.0,3.0,9.0,15.0,65,42,35,22,7.0,0.0,38.0,21.0,4.0,4.0,8.0,11.0,2,2
11,1,0,69,44,31,9,8.0,3.0,35.0,29.0,1.0,3.0,13.0,19.0,55,40,45,21,11.0,2.0,36.0,30.5,5.0,11.0,6.0,6.0,4,2
48,1,0,57,52,43,25,29.0,1.0,55.0,39.0,1.0,2.0,12.0,18.0,64,62,36,23,16.0,3.0,46.0,29.0,4.0,8.0,21.0,28.0,1,2
103,3,1,44,17,56,15,3.0,4.0,14.0,10.0,6.0,15.0,3.0,5.0,60,22,40,13,4.0,6.0,22.0,45.0,2.0,4.0,6.0,10.0,1,1
61,1,0,58,40,42,12,7.0,1.0,16.0,19.0,9.0,0.0,5.0,3.0,59,38,41,22,20.0,3.0,53.0,25.0,14.0,5.0,17.0,11.0,3,2
46,1,0,57,26,43,7,2.0,7.0,2.0,7.0,2.0,3.0,9.0,9.5,61,26,39,8,4.0,3.0,4.0,3.0,5.0,10.0,9.0,9.0,1,1
14,1,1,69,84,31,29,11.0,4.0,57.0,42.0,6.0,7.0,8.0,13.0,54,58,46,36,7.0,8.0,60.0,71.0,5.0,15.0,24.0,33.0,2,2
61,1,0,53,27,47,12,2.0,13.0,2.0,13.0,4.0,7.0,9.0,9.5,68,32,32,12,1.0,5.0,1.0,5.0,5.0,11.0,9.0,9.0,1,1
46,1,1,49,29,51,22,7.0,4.0,32.0,37.0,6.0,11.0,13.0,19.0,69,35,31,9,3.0,4.0,22.0,32.0,3.0,12.0,10.0,19.0,2,2
106,4,1,65,44,35,17,13.0,3.0,40.0,16.0,13.0,6.0,22.0,15.0,73,43,27,14,4.0,2.0,25.0,26.0,7.0,2.0,35.0,16.0,3,2
52,1,0,47,8,53,4,1.0,6.0,13.0,38.0,2.0,0.0,5.0,4.0,69,21,31,7,0.0,2.0,7.0,8.0,8.0,6.0,3.0,3.0,4,1
39,1,1,57,24,43,14,4.0,3.0,23.0,6.0,7.0,5.0,20.0,14.0,52,10,48,7,0.0,3.0,16.0,20.0,10.0,1.0,19.0,13.0,3,1
78,2,1,67,51,33,19,2.0,5.0,29.0,20.0,12.0,5.0,15.0,9.0,65,44,35,15,5.0,5.0,27.0,28.0,5.0,2.0,32.0,19.0,3,2
58,1,1,73,29,27,7,1.0,1.0,21.0,16.0,9.0,6.0,14.0,8.0,79,25,21,6,2.0,2.0,19.0,26.0,6.0,3.0,14.0,8.0,3,1
105,3,1,68,39,32,13,8.0,1.0,34.0,13.0,9.0,4.0,27.0,18.0,61,32,39,15,3.0,4.0,20.0,14.0,5.0,1.0,16.0,11.0,3,1
104,3,0,46,15,54,7,1.0,3.0,25.0,34.0,1.0,7.0,8.0,15.0,89,34,11,2,1.0,0.0,14.0,7.0,5.0,7.0,5.0,8.0,2,1
12,1,0,65,40,35,17,16.0,4.0,35.0,25.0,0.0,2.0,20.0,43.0,67,45,33,13,6.0,4.0,31.0,17.0,4.0,10.0,6.0,10.0,1,2
69,1,0,62,30,38,10,1.0,7.0,35.0,29.0,2.0,13.0,17.0,22.0,44,32,56,31,3.0,3.0,36.0,30.5,7.0,11.0,18.0,22.0,4,2
104,4,1,66,62,34,29,7.0,3.0,53.0,25.0,15.0,5.0,46.0,31.0,66,64,34,25,14.0,3.0,47.0,32.0,6.0,0.0,54.0,30.0,3,2
91,1,0,46,19,54,23,3.0,5.0,35.0,29.0,2.0,2.0,17.0,22.0,46,24,54,21,6.0,3.0,36.0,30.5,7.0,13.0,18.0,22.0,4,2
16,1,0,74,21,26,6,2.0,1.0,20.0,16.0,1.0,5.0,9.0,11.0,70,31,30,6,4.0,1.0,21.0,13.0,4.0,8.0,8.0,10.0,2,1
29,1,1,61,30,39,13,8.0,5.0,25.0,27.0,4.0,5.0,6.0,6.0,68,20,32,5,0.0,4.0,10.0,23.0,1.0,8.0,6.0,7.0,1,1
63,1,0,72,24,28,5,2.0,5.0,13.0,29.0,3.0,10.0,4.0,5.0,75,41,25,4,0.0,7.0,27.0,32.0,5.0,5.0,15.0,17.0,1,1
85,1,0,53,35,47,19,10.0,4.0,35.0,29.0,2.0,9.0,17.0,22.0,52,33,48,23,8.0,3.0,36.0,30.5,7.0,19.0,18.0,22.0,4,2
0,1,0,62,18,38,5,0.0,3.0,8.0,8.0,0.0,0.0,1.0,3.0,68,25,32,8,4.0,0.0,25.0,19.0,4.0,6.0,3.0,5.0,2,1
34,1,1,58,49,42,24,5.0,4.0,5.0,4.0,9.0,17.0,17.0,22.0,55,50,45,21,14.0,8.0,14.0,8.0,3.0,6.0,18.0,22.0,1,2
116,4,1,62,59,38,25,8.0,3.0,48.0,47.0,7.0,14.0,16.0,24.0,51,39,49,22,3.0,8.0,33.0,56.0,1.0,6.0,20.0,31.0,1,2
26,3,0,75,27,25,6,0.0,4.0,13.0,33.0,3.0,2.0,13.0,8.0,79,30,21,5,0.0,2.0,13.0,23.0,11.0,5.0,9.0,7.0,4,1
104,3,1,62,23,38,13,1.0,3.0,12.0,33.0,7.0,9.0,5.0,10.0,86,25,14,5,0.0,2.0,19.0,43.0,5.0,7.0,13.0,18.0,1,1
85,2,1,62,23,38,12,2.0,1.0,14.0,7.0,9.0,5.0,14.0,10.0,66,24,34,6,2.0,6.0,22.0,29.0,4.0,1.0,27.0,18.0,3,1
108,1,1,51,37,49,25,7.0,2.0,35.0,29.0,4.0,10.0,8.0,12.0,62,40,38,15,0.0,2.0,36.0,30.5,0.0,2.0,21.0,39.0,4,2
115,4,0,56,29,44,18,0.0,2.0,27.0,42.0,2.0,5.0,13.0,21.0,64,31,36,14,1.0,6.0,13.0,25.0,4.0,11.0,10.0,17.0,2,1
14,1,0,55,76,45,42,9.0,9.0,35.0,29.0,4.0,15.0,26.0,38.0,68,71,32,28,9.0,2.0,36.0,30.5,5.0,17.0,28.0,41.0,4,2
108,3,0,59,55,41,30,21.0,5.0,50.0,39.0,1.0,3.0,22.0,53.0,60,55,40,33,15.0,5.0,49.0,13.0,2.0,4.0,12.0,15.0,1,2
38,1,0,56,67,44,34,21.0,7.0,58.0,53.0,1.0,4.0,21.0,30.0,68,71,32,18,10.0,4.0,44.0,42.0,1.0,10.0,15.0,22.0,2,2
45,1,0,60,38,40,14,3.0,0.0,12.0,16.0,1.0,5.0,0.0,6.0,62,41,38,23,7.0,4.0,62.0,50.0,4.0,7.0,9.0,12.0,2,2
64,2,1,72,83,28,23,5.0,8.0,63.0,76.0,5.0,10.0,32.0,47.0,65,75,35,37,5.0,4.0,55.0,38.0,7.0,16.0,22.0,34.0,2,2
37,1,0,64,61,36,21,7.0,11.0,56.0,60.0,3.0,6.0,31.0,49.0,65,59,35,25,8.0,6.0,35.0,31.0,3.0,8.0,17.0,23.0,2,2
33,1,0,51,37,49,29,5.0,11.0,51.0,54.0,4.0,11.0,22.0,32.0,63,43,37,22,10.0,6.0,41.0,27.0,6.0,14.0,6.0,15.0,1,2
21,3,0,52,16,48,16,0.0,5.0,7.0,30.0,2.0,1.0,5.0,3.0,65,29,35,10,11.0,6.0,23.0,21.0,7.0,4.0,9.0,9.0,4,1
104,3,0,43,40,57,36,6.0,9.0,36.0,64.0,4.0,9.0,10.0,20.0,63,53,37,23,1.0,5.0,27.0,34.0,8.0,19.0,14.0,27.0,2,2
6,1,1,63,56,37,21,21.0,3.0,56.0,32.0,16.0,4.0,21.0,15.0,73,59,27,14,7.0,8.0,33.0,28.0,9.0,2.0,11.0,10.0,3,2
56,1,0,56,37,44,24,5.0,4.0,29.0,13.0,4.0,0.0,22.0,14.0,64,56,36,18,17.0,3.0,45.0,13.0,6.0,3.0,19.0,14.0,3,2
47,1,1,67,17,33,9,1.0,0.0,13.0,8.0,6.0,14.0,9.0,11.0,56,15,44,7,1.0,4.0,17.0,24.0,1.0,2.0,2.0,10.0,2,1
77,2,1,65,43,35,18,15.0,5.0,30.0,22.0,3.0,5.0,12.0,15.0,59,34,41,16,10.0,3.0,28.0,21.0,0.0,2.0,2.0,5.0,1,2
15,1,1,67,40,33,17,2.0,5.0,32.0,31.0,15.0,5.0,24.0,15.0,64,40,36,20,5.0,3.0,24.0,25.0,9.0,3.0,17.0,10.0,3,1
107,4,1,60,26,40,14,6.0,1.0,31.0,20.0,12.0,6.0,41.0,26.0,66,26,34,11,0.0,0.0,20.0,19.0,6.0,4.0,31.0,18.0,3,1
66,2,0,63,83,37,25,26.0,2.0,66.0,27.0,7.0,2.0,61.0,39.0,64,76,36,39,8.0,2.0,53.0,20.0,7.0,4.0,46.0,32.0,3,2
117,4,1,74,71,26,23,2.0,2.0,38.0,42.0,4.0,8.0,13.0,31.0,55,48,45,28,4.0,3.0,48.0,48.0,2.0,13.0,17.0,24.0,2,2
11,1,1,78,40,22,7,4.0,1.0,27.0,21.0,3.0,11.0,10.0,15.0,68,38,32,17,1.0,2.0,26.0,32.0,2.0,6.0,14.0,23.0,2,1
13,1,0,54,32,46,15,5.0,4.0,22.0,40.0,2.0,7.0,4.0,6.0,58,39,42,18,7.0,9.0,21.0,41.0,2.0,3.0,8.0,11.0,1,1
40,1,0,52,16,48,9,1.0,5.0,9.0,33.0,1.0,3.0,4.0,8.0,51,27,49,19,2.0,4.0,26.0,25.0,8.0,11.0,7.0,7.0,2,2
120,6,1,63,53,37,19,9.0,7.0,60.0,46.0,14.0,6.0,44.0,32.0,70,42,30,15,1.0,0.0,21.0,10.0,14.0,6.0,31.0,16.0,3,1
95,2,1,69,23,31,9,6.0,1.0,27.0,9.0,4.0,10.0,3.0,5.0,53,16,47,9,2.0,3.0,14.0,14.0,0.0,0.0,3.0,5.0,2,1
27,1,0,58,22,42,11,1.0,2.0,13.0,46.0,3.0,7.0,3.0,8.0,70,32,30,8,2.0,3.0,17.0,33.0,5.0,6.0,0.0,2.0,2,1
49,1,1,82,37,18,7,1.0,1.0,1.0,1.0,8.0,18.0,17.0,22.0,61,28,39,10,8.0,5.0,8.0,5.0,1.0,2.0,18.0,22.0,1,2
27,1,1,67,73,33,32,8.0,3.0,50.0,69.0,9.0,14.0,18.0,27.0,64,68,36,28,11.0,8.0,48.0,69.0,6.0,10.0,19.0,37.0,2,2
19,1,1,66,46,34,16,9.0,2.0,31.0,27.0,4.0,9.0,12.0,13.0,57,41,43,13,9.0,7.0,30.0,33.0,0.0,5.0,14.0,17.0,1,2
75,2,1,64,48,36,19,8.0,4.0,25.0,39.0,7.0,6.0,31.0,14.0,63,38,37,22,4.0,2.0,26.0,30.0,16.0,7.0,19.0,13.0,3,1
112,4,0,71,34,29,7,5.0,2.0,25.0,41.0,0.0,2.0,6.0,12.0,52,28,48,24,1.0,3.0,28.0,11.0,6.0,17.0,9.0,12.0,2,2
23,3,1,66,28,44,7,6.0,1.0,22.0,16.0,8.0,4.0,13.0,10.0,59,14,41,12,0.0,3.0,3.0,21.0,1.0,0.0,13.0,4.0,4,1
87,3,0,67,47,33,12,6.0,1.0,34.0,25.0,3.0,1.0,29.0,21.0,65,44,35,16,9.0,0.0,40.0,14.0,7.0,5.0,28.0,20.0,3,2
38,1,1,66,29,34,8,5.0,1.0,25.0,19.0,4.0,5.0,6.0,8.0,62,16,38,9,0.0,2.0,10.0,11.0,1.0,4.0,7.0,12.0,2,1
79,2,0,64,27,36,8,3.0,0.0,14.0,34.0,2.0,3.0,6.0,13.0,59,32,41,14,9.0,3.0,39.0,15.0,8.0,13.0,6.0,9.0,2,2
75,1,0,62,47,38,23,8.0,2.0,35.0,29.0,6.0,11.0,18.0,25.0,56,43,44,27,9.0,7.0,36.0,30.5,6.0,15.0,32.0,40.0,4,2
51,1,0,63,50,37,22,6.0,5.0,35.0,29.0,1.0,3.0,17.0,22.0,64,50,36,20,8.0,3.0,36.0,30.5,3.0,11.0,18.0,22.0,4,2
29,1,1,61,49,39,25,7.0,6.0,35.0,29.0,6.0,11.0,17.0,22.0,58,52,42,27,14.0,2.0,36.0,30.5,4.0,6.0,18.0,22.0,4,2
103,3,0,69,38,31,10,3.0,5.0,27.0,33.0,0.0,5.0,7.0,19.0,62,39,38,16,6.0,1.0,35.0,18.0,5.0,14.0,11.0,20.0,1,2
91,3,0,67,53,33,11,14.0,5.0,44.0,27.0,0.0,0.0,21.0,13.0,61,47,39,20,10.0,4.0,29.0,12.0,9.0,4.0,13.0,7.0,3,2
93,2,0,61,26,39,14,5.0,2.0,22.0,36.0,3.0,5.0,8.0,10.0,53,26,47,15,7.0,3.0,19.0,24.0,5.0,8.0,8.0,11.0,1,1
64,2,0,52,28,48,17,3.0,7.0,14.0,39.0,0.0,0.0,7.0,11.0,66,36,34,17,12.0,2.0,30.0,11.0,5.0,6.0,5.0,9.0,1,2
117,4,1,60,57,40,21,11.0,3.0,38.0,34.0,4.0,5.0,23.0,35.0,64,44,36,22,5.0,1.0,27.0,45.0,1.0,5.0,13.0,23.0,1,2
0,1,1,63,45,37,16,7.0,7.0,35.0,29.0,5.0,16.0,18.0,25.0,59,37,41,17,6.0,4.0,36.0,30.5,1.0,3.0,30.0,40.0,4,2
64,1,1,51,13,49,12,1.0,0.0,13.0,8.0,9.0,6.0,8.0,6.0,43,8,57,5,0.0,8.0,3.0,18.0,0.0,0.0,6.0,3.0,4,1
52,1,0,66,19,34,9,0.0,0.0,21.0,16.0,6.0,0.0,12.0,11.0,70,44,30,9,7.0,1.0,29.0,21.0,4.0,3.0,21.0,13.0,3,1
74,2,1,56,26,44,14,4.0,6.0,18.0,28.0,5.0,13.0,9.0,14.0,74,22,26,10,0.0,2.0,18.0,40.0,2.0,4.0,3.0,7.0,1,1
119,5,0,59,22,41,9,2.0,2.0,9.0,28.0,0.0,1.0,4.0,7.0,47,25,53,22,1.0,3.0,26.0,18.0,7.0,12.0,13.0,15.0,2,2
70,2,1,50,26,50,17,4.0,2.0,25.0,25.0,5.0,10.0,3.0,7.0,75,32,25,6,2.0,1.0,27.0,42.0,3.0,9.0,13.0,17.0,1,1
25,1,0,57,49,43,32,9.0,4.0,9.0,4.0,4.0,13.0,17.0,22.0,65,67,35,32,6.0,6.0,6.0,6.0,7.0,16.0,18.0,22.0,1,2
61,1,0,49,51,51,36,6.0,8.0,6.0,8.0,2.0,12.0,17.0,22.0,50,54,50,43,16.0,12.0,16.0,12.0,4.0,10.0,18.0,22.0,1,2
18,1,1,68,102,32,27,22.0,10.0,55.0,44.0,19.0,4.0,34.0,22.0,59,81,41,39,20.0,13.0,95.0,74.0,17.0,3.0,59.0,42.0,3,2
71,2,1,53,20,47,13,4.0,4.0,30.0,26.0,6.0,11.0,9.0,11.0,73,22,27,5,0.0,3.0,9.0,18.0,3.0,5.0,4.0,4.0,2,1
75,2,0,57,30,43,16,4.0,1.0,23.0,34.0,1.0,11.0,11.0,17.0,46,36,54,30,9.0,6.0,41.0,45.0,5.0,12.0,11.0,14.0,2,2
61,1,1,65,17,35,10,1.0,0.0,17.0,8.0,8.0,6.0,20.0,16.0,41,6,59,7,0.0,4.0,2.0,10.0,2.0,1.0,1.0,0.0,3,1
62,1,1,60,34,40,20,16.0,3.0,35.0,29.0,5.0,10.0,5.0,8.0,54,30,46,15,0.0,5.0,36.0,30.5,0.0,1.0,10.0,15.0,4,2
3,1,1,53,39,47,24,8.0,6.0,8.0,6.0,6.0,9.0,17.0,22.0,50,24,50,19,1.0,8.0,1.0,8.0,1.0,7.0,18.0,22.0,1,2
120,5,1,75,40,25,11,5.0,0.0,31.0,17.0,7.0,12.0,13.0,16.0,60,30,40,12,3.0,4.0,23.0,40.0,1.0,5.0,16.0,30.0,2,2
90,2,0,70,47,30,19,2.0,2.0,23.0,46.0,2.0,4.0,13.0,18.0,59,49,41,18,15.0,7.0,36.0,35.0,5.0,21.0,5.0,9.0,1,2
84,2,0,73,17,27,4,2.0,3.0,11.0,18.0,1.0,1.0,1.0,3.0,55,20,45,10,2.0,1.0,18.0,10.0,5.0,8.0,2.0,2.0,2,1
62,1,1,62,68,38,38,22.0,1.0,52.0,32.0,16.0,3.0,45.0,26.0,55,76,45,39,25.0,8.0,76.0,55.0,11.0,2.0,36.0,26.0,3,2
82,2,0,67,38,33,14,2.0,1.0,37.0,38.0,5.0,10.0,11.0,14.0,63,41,37,14,1.0,2.0,32.0,31.0,5.0,8.0,10.0,14.0,2,1
15,1,1,50,32,50,23,5.0,0.0,29.0,33.0,6.0,10.0,13.0,17.0,62,26,38,12,4.0,4.0,15.0,35.0,1.0,4.0,9.0,13.0,2,2
7,1,1,59,42,41,25,7.0,2.0,41.0,49.0,10.0,14.0,11.0,18.0,49,40,51,29,4.0,6.0,44.0,72.0,9.0,10.0,19.0,35.0,2,2
106,3,1,64,40,36,21,3.0,3.0,42.0,29.0,4.0,8.0,16.0,24.0,49,28,51,25,5.0,5.0,22.0,22.0,0.0,3.0,10.0,20.0,2,2
81,2,0,60,67,40,34,12.0,18.0,56.0,71.0,6.0,10.0,15.0,26.0,68,62,32,26,2.0,4.0,24.0,51.0,5.0,17.0,6.0,10.0,1,2
37,1,1,62,43,38,21,17.0,4.0,43.0,15.0,6.0,3.0,47.0,32.0,65,44,35,18,3.0,3.0,24.0,14.0,1.0,1.0,15.0,9.0,3,2
104,3,1,66,49,34,20,17.0,0.0,40.0,29.0,3.0,6.0,20.0,27.0,53,34,47,22,7.0,3.0,21.0,25.0,0.0,3.0,23.0,28.0,1,2
126,7,1,60,21,40,15,2.0,3.0,34.0,30.0,5.0,10.0,8.0,13.0,67,29,33,5,0.0,7.0,11.0,28.0,2.0,3.0,3.0,4.0,1,1
23,1,1,69,39,31,17,5.0,2.0,11.0,30.0,7.0,9.0,5.0,8.0,49,24,51,12,2.0,8.0,20.0,61.0,2.0,5.0,15.0,22.0,1,2
1,1,1,62,54,38,22,7.0,3.0,26.0,20.0,5.0,8.0,12.0,21.0,52,35,48,24,0.0,2.0,40.0,47.0,1.0,16.0,22.0,25.0,2,2
22,1,0,71,49,29,23,3.0,1.0,35.0,18.0,4.0,6.0,21.0,42.0,58,56,42,16,17.0,6.0,59.0,46.0,7.0,18.0,38.0,63.0,2,2
77,2,1,63,43,37,24,6.0,1.0,31.0,20.0,9.0,3.0,23.0,17.0,57,38,43,18,2.0,4.0,36.0,27.0,6.0,1.0,17.0,13.0,3,1
26,1,0,60,32,40,12,1.0,3.0,15.0,20.0,0.0,0.0,15.0,11.0,63,31,37,17,6.0,0.0,34.0,14.0,13.0,6.0,31.0,23.0,3,2
68,2,1,76,40,24,14,0.0,4.0,19.0,48.0,7.0,10.0,10.0,15.0,63,39,37,18,3.0,1.0,30.0,43.0,8.0,16.0,6.0,11.0,1,1
65,2,1,63,52,37,28,9.0,3.0,38.0,9.0,5.0,2.0,15.0,10.0,65,48,35,18,17.0,3.0,39.0,19.0,2.0,0.0,54.0,31.0,3,2
71,1,0,62,42,38,20,2.0,5.0,35.0,29.0,3.0,8.0,21.0,24.0,59,48,41,29,10.0,3.0,36.0,30.5,8.0,16.0,19.0,29.0,4,2
20,1,0,51,29,49,19,1.0,3.0,13.0,32.0,10.0,4.0,18.0,16.0,59,32,41,15,1.0,3.0,29.0,29.0,12.0,5.0,25.0,15.0,3,1
14,1,1,54,28,46,14,2.0,3.0,13.0,15.0,4.0,8.0,5.0,5.0,53,24,47,8,1.0,11.0,23.0,30.0,1.0,4.0,3.0,8.0,2,1
117,5,1,77,52,23,9,0.0,5.0,32.0,18.0,16.0,5.0,32.0,21.0,77,57,23,13,1.0,4.0,58.0,40.0,10.0,4.0,71.0,48.0,3,1
